PrimaryICDCode;SecondaryICDCode;HIVCode;HIVAssociation;HIVDiseaseClass;HIVDisease;HIVDiseaseGerman
B37.1;J17.2;B20;AIDS defining;Infection;Candida pneumonia;Candida-Pneumonie
B37.1;J04.1;B20;AIDS defining;Infection;Candida tracheitis;Candida-Tracheitis
B37.81;;B20;AIDS defining;Infection;Candida oesophagitis;Candida-Ösophagitis
B00.8;L98.4;B20;AIDS defining;Infection;Chronic ulcers due to Herpes simplex infection;Chronische Ulzera bei Herpes-simplex-Infektionen
B25.80;K93.8;B20;AIDS defining;Infection;Gastrointestinal infections due to CMV other than liver, spleen or lymph nodes;CMV-Infektionen des Verdauungstrakts außer Leber, Milz, Lymphknoten
B25.80;K23.8;B20;AIDS defining;Infection;Gastrointestinal infections due to CMV other than liver, spleen or lymph nodes;CMV-Infektionen des Verdauungstrakts außer Leber, Milz, Lymphknoten
B25.0;;B20;AIDS defining;Infection;CMV pneumonia;CMV-Pneumonie
B25.0;J17.1;B20;AIDS defining;Infection;CMV pneumonia;CMV-Pneumonie
B25.88;H32.0;B20;AIDS defining;Infection;CMV retinitis;CMV-Retinitis
B22;F02.4;B22;AIDS defining;HIV proprietary;Dementia in HIV disease;Demenz bei HIV-Krankheit
B22;F02.8;B22;AIDS defining;HIV proprietary;Dementia in HIV disease;Demenz bei HIV-Krankheit
B00.8;J20.8;B20;AIDS defining;Infection;Herpes simplex bronchitis;Herpes-Bronchitis
B00.8;K23.8;B20;AIDS defining;Infection;Herpes simplex oesophagitis;Herpes-Ösophagitis
B00.8;J17.1;B20;AIDS defining;Infection;Herpes simplex pneumonia;Herpes-Pneumonie
B93.3;;B20;AIDS defining;Infection;Disseminated Histoplasmosis;Disseminierte Histoplasmose
G05.1;;B22;AIDS defining;Infection;HIV encephalitis;HIV-Enzephalitis
B20;G05.1*;B20;AIDS defining;Infection;HIV encephalitis;HIV-Enzephalitis
G94.8;;B22;AIDS defining;HIV proprietary;HIV related encephalopathy;HIV-Enzephalopathie
B20;G94.8*;B20;AIDS defining;HIV proprietary;HIV related encephalopathy;HIV-Enzephalopathie
B22;G94.8*;B22;AIDS defining;HIV proprietary;HIV related encephalopathy;HIV-Enzephalopathie
A07.3;;B20;AIDS defining;Infection;Isosporiasis;Isosporiasis
C46.-;;B21;AIDS defining;Cancer;Kaposi sarcoma;Kaposi-Sarkom
C46.0;;B21;AIDS defining;Cancer;Kaposi sarcoma;Kaposi-Sarkom
C46.1;;B21;AIDS defining;Cancer;Kaposi sarcoma;Kaposi-Sarkom
C46.2;;B21;AIDS defining;Cancer;Kaposi sarcoma;Kaposi-Sarkom
C46.3;;B21;AIDS defining;Cancer;Kaposi sarcoma;Kaposi-Sarkom
C46.7;;B21;AIDS defining;Cancer;Kaposi sarcoma;Kaposi-Sarkom
C46.8;;B21;AIDS defining;Cancer;Kaposi sarcoma;Kaposi-Sarkom
C46.9;;B21;AIDS defining;Cancer;Kaposi sarcoma;Kaposi-Sarkom
B38.3;;B20;AIDS defining;Infection;Disseminated Coccidioidomycosis;Disseminierte Kokzidioidomykose
B38.4;;B20;AIDS defining;Infection;Disseminated Coccidioidomycosis;Disseminierte Kokzidioidomykose
B38.7;;B20;AIDS defining;Infection;Disseminated Coccidioidomycosis;Disseminierte Kokzidioidomykose
B38.8;;B20;AIDS defining;Infection;Disseminated Coccidioidomycosis;Disseminierte Kokzidioidomykose
B45.1;;B20;AIDS defining;Infection;Extrapulmonary Cryptococcosis;Kryptokokkose extrapulmonal
B45.2;;B20;AIDS defining;Infection;Extrapulmonary Cryptococcosis;Kryptokokkose extrapulmonal
B45.3;;B20;AIDS defining;Infection;Extrapulmonary Cryptococcosis;Kryptokokkose extrapulmonal
B45.7;;B20;AIDS defining;Infection;Extrapulmonary Cryptococcosis;Kryptokokkose extrapulmonal
B45.8;;B20;AIDS defining;Infection;Extrapulmonary Cryptococcosis;Kryptokokkose extrapulmonal
B45.9;;B20;AIDS defining;Infection;Extrapulmonary Cryptococcosis;Kryptokokkose extrapulmonal
A07.2;;B20;AIDS defining;Infection;Cryptosporidiosis;Kryptosporidiose
C83.3;;B21;AIDS defining;Cancer;Immunoblastic lymphoma;Immunoblastisches Lymphom (Diffuses großzelliges B-Zell-Lymphom)
C83.4;;B21;AIDS defining;Cancer;Immunoblastic lymphoma;Immunoblastisches Lymphom (Diffuses großzelliges B-Zell-Lymphom)
C82.-;;B21;AIDS defining;Cancer;Primary lymphoma / Follicular lymphoma;Primäres Lymphom / Follikuläres Lymphom
C83.-;;B21;AIDS defining;Cancer;Primary lymphoma / Non-follicular lymphoma;Primäres Lymphom / Nicht follikuläres Lymphom
C84.-;;B21;AIDS defining;Cancer;Primary lymphoma / Mature T/NK-cell lymphoma;Primäres Lymphom / Reifzelliges T/NK-Zell-Lymphom
C85.-;;B21;AIDS defining;Cancer;Primary lymphoma / Unspecified Non-Hodgkin lymphoma;Primäres Lymphom / Unspezifisches Non-Hodgkin-Lymphom
C86.-;;B21;AIDS defining;Cancer;Primary lymphoma / Other specified T/NK-cell lymphoma;Primäres Lymphom / Spezifiziertes T/NK-Zell-Lymphom
A31.1;;B20;AIDS defining;Infection;Other mycobacterial infections;Infektion durch sonstige Mykobakterien
A31.8;;B20;AIDS defining;Infection;Other mycobacterial infections;Infektion durch sonstige Mykobakterien
A31.9;;B20;AIDS defining;Infection;Other mycobacterial infections;Infektion durch sonstige Mykobakterien
J13;;B20;AIDS defining;Infection;Recurring bacterial pneumonia;Rezidivierende bakterielle Pneumonien
J14;;B20;AIDS defining;Infection;Recurring bacterial pneumonia;Rezidivierende bakterielle Pneumonien
J15.-;;B20;AIDS defining;Infection;Recurring bacterial pneumonia;Rezidivierende bakterielle Pneumonien
B59;;B20;AIDS defining;Infection;Pneumocystis pneumonia;Pneumozystose
J17.3;;B20;AIDS defining;Infection;Pneumocystis pneumonia;Pneumozystose
A81.2;;B20;AIDS defining;Infection;Progressive multifocal leukoencephalopathy;Progressive multifokale Leukenzephalophatie
A02.1;;B20;AIDS defining;Infection;Recurring salmonella septicemia;Rezidivierende Salmonellen-Septikämie
B58.2;;B20;AIDS defining;Infection;Cerebral toxoplasmosis;Zerebrale Toxoplasmose
G05.2;;B20;AIDS defining;Infection;Cerebral toxoplasmosis;Zerebrale Toxoplasmose
A15.-;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A15.0;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A15.1;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A15.2;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A15.3;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A15.4;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A15.5;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A15.6;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A15.7;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A15.8;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A15.9;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A16.-;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A16.0;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A16.1;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A16.2;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A16.3;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A16.4;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A16.5;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A16.7;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A16.8;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A16.9;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A17.-;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A17.0;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A17.1;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A17.8;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A17.9;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A18.-;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A18.0;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A18.1;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A18.2;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A18.3;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A18.4;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A18.5;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A18.6;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A18.7;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A18.8;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A19.-;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A19.0;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A19.1;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A19.2;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A19.8;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
A19.9;;B20;AIDS defining;Infection;Tuberculosis;Tuberkulose
C53.-;;B21;AIDS defining;Cancer;Invasive cervical cancer;Invasives Zervixkazinom
C53.0;;B21;AIDS defining;Cancer;Invasive cervical cancer;Invasives Zervixkazinom
C53.1;;B21;AIDS defining;Cancer;Invasive cervical cancer;Invasives Zervixkazinom
C53.8;;B21;AIDS defining;Cancer;Invasive cervical cancer;Invasives Zervixkazinom
C53.9;;B21;AIDS defining;Cancer;Invasive cervical cancer;Invasives Zervixkazinom
